links,公司名称,公司类型,内推码,备注,岗位(专业/岗位投递误区?(可点击)),工作地点,所属行业(新增),投递截止,投递进度,招聘公告,招聘对象,招聘类型,更新时间,相关链接
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/HwYBBVZOqDciDkHY3a9A7g?scene=1&click_id=34'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/HwYBBVZOqDciDkHY3a9A7g?scene=1&click_id=34'}]",中交三航局,央国企,-,-,未告知岗位，需求专业为：土木工程 管理科学 与工程类 地理科学类 地质类 矿业类 安全科学 与工程类 机械类 交通运输类 测绘类 水利类 海洋工程类 市政类 电气与 自动化类 材料类 建筑类 生态环保类 能源动力类 计算机与 电子信息类 投资金融类 经济类 工商管理类 中文 新闻传播类 财务会计类 法学类 外国语类 数学统计类 财政学类,"上海,南京,南通,连云港,宁波,株洲,重庆",国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://wj.qq.com/s2/23495611/7wb7/'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/O1SwM4Ik5f__tFwkbp-o-Q'}]",元琛科技,民企,-,-,新材料研发工程师 催化剂研发工程师 技术管培生 AI算法工程师 电气工程师 国内营销管培生 国际营销管培生 开发工程师 市场推广 生产运营管培生 职能岗 退役军人专项 投资助理,合肥,科技,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://skhb3.zhiye.com/campus/jobs'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/N0LjYBjfkkEbn9TfcXt4Rw'}]",科华生物,民企,-,-,售后工程师 商务运营岗 产品经理 运营专员 质谱售后工程师 销售经理 销售助理 产品需求工程师 行政岗 项目专员 系统工程师 临床注册岗 研发工程师（分子方向） 研发工程师（免疫方向） 软件工程师 算法工程师 工艺工程师 设备维修工程师 研发工艺师 原料研发工程师 QC工程师 业务经理 技术工程师 IT运维专员,"上海,深圳,西安,全国",生物医药,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://tcnkde5l1nsy.feishu.cn/share/base/form/shrcnoF1zgCcFqQCaXplmOwAOcc?share_link_type=qrcode&ccm_open_type=form_v1_qrcode_share'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/RbPH32dXbcpeB-ryPpi1lg'}]",卡本科技,民企,-,-,管培生,"北京,天津",科技,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://tengen.zhiye.com/campus/jobs'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/CGUwnVokhl9HRc9pB9FoNA'}]",天正电气,民企,-,-,营销管培生 海外销售工程师 销售运营管培生 技术研发工程师 电力电子软/硬件工程师 嵌入式软/硬件工程师 产品工程师 售前技术工程师 项目经理 生产储备干部 IE工程师 质量工程师 采购工程师 物流专员 人力资源管培生 财务管培生,"北京,上海,温州,嘉兴,全国",其他,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://mp.weixin.qq.com/s?__biz=MzA3NjgzNDYyNg==&mid=2650074350&idx=1&sn=d016a55589d23ef145b8aea2fc20b208&chksm=875b7ec3b02cf7d5fda0e86fca49fe4d1672a7aea7866fc6f435370420e6e966e1244777593c#rd'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MzA3NjgzNDYyNg==&mid=2650074350&idx=1&sn=d016a55589d23ef145b8aea2fc20b208&chksm=875b7ec3b02cf7d5fda0e86fca49fe4d1672a7aea7866fc6f435370420e6e966e1244777593c#rd'}]",河北邮政,央国企,-,-,金融柜员岗 理财经理岗 寄递营业部经理岗 客户经理岗,"石家庄,唐山,秦皇岛,邯郸,邢台,保定,张家口,承德,沧州,廊坊,衡水",国企,2025-10-31,未开始,公告,"2026届,2025届",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://avicasri.zhiye.com/campus/jobs'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/U7Iqty71dtSzJGKnUworww'}]",中国飞机强度研究所,央国企,-,-,强度试验设计岗 测控技术研究岗 结构动力学研究 软件/系统开发岗 嵌入式开发 电气自动化 飞机气候环境适应性研究岗 机电液系统设计 声学仿真计算 结构健康监测 液压系统设计 计量岗 强度试验设计岗（上海岗） 测控技术研究岗（上海岗） 新闻宣传岗 工会干事 团委干事 质量管理岗 测控产品开发岗（上海岗）,"上海,西安",国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://campus.51job.com/techen2025/campus.html'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/UaQKKy3zDq8t8CZ_xG8bQw'}]",青岛乾程控股集团有限公司,民企,-,-,硬件工程师 新能源硬件工程师 电气工程师 机械工程师 上位机软件工程师 新能源软件工程师 Java后端工程师 嵌入式软件工程师 测试工程师 产品工程师 海外产品工程师 客户服务经理 销售经理 海外销售经理 投标工程师 销售管理专员 计划工程师 采购工程师 工艺工程师 质量工程师 交付管理工程师 财务管理专员 人力资源专员 行政专员（英语）,"杭州,青岛,西安,全国","科技,新能源,互联网",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://app.mokahr.com/social-recruitment/rastar/96228#/jobs/'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MzI5NjA1MDQxNw==&mid=2651301151&idx=1&sn=00ce82a5498b3e038bf4bcdf6fe2abb5&chksm=f7b94e81c0cec797bb2737b51a53c20606336dfc53868c9988b88a6da8b451794e2320f3fd2a#rd'}]",星辉游戏,民企,-,-,服务端工程师 iOS开发工程师 测试工程师 WEB前端开发工程师 U3D客户端工程师 UI设计师 视觉设计师 视频设计师 角色原画师 场景原画师 角色模型师 场景模型师 动作设计师 特效设计师 广告创意策划 商业化策划 系统策划（SLG/卡牌） 数值策划（SLG） 游戏运营专员 海外投放专员 广告投放专员 直播运营专员 项目管理专员 证券事务专员 渠道商务负责人 直播运营助理 海外用户运营专员（印尼语） 海外运营专员（日本） 外贸业务员（汕头） 系统策划 数值策划 文案策划 JAVA服务端工程师 PHP开发工程师 C++服务端工程师 客户端工程师 GOLANG开发工程师 运维工程师 美宣原画师 交互设计师 动画设计师 视频编导 国内营销专员 市场分析专员 数据分析专员 渠道运营助理 海外渠道运营助理 海外营销专员（泰语、英语、越南语） 海外用户运营专员（韩语、泰语、印尼语）,"广州,汕头,海外",游戏,招满为止,未开始,公告,"2026届,2027届",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://app.mokahr.com/campus-recruitment/ascenpower/142952?locale=zh-CN#/jobs'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MzkyMzI4MDYyNg==&mid=2247486947&idx=1&sn=f294ab5bb33597f3992a28bf1d8dca23&chksm=c1e6387ef691b168bf872779ed938311e86b8e25f0e2520ef05392e6fab7e56e691b1489dbd2#rd'}]",广东芯粤能半导体有限公司,民企,-,-,芯火计划 研发工程师 工艺整合工程师 工艺工程师 设备工程师 制造工程师 CIM工程师,广州,科技,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/Qif_ZKJV3mV6BNGKBDH5Nw'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/Qif_ZKJV3mV6BNGKBDH5Nw'}]",金士达医疗,民企,-,-,销售类 技术类 职能管理类 管培生,"武汉,咸宁",生物医药,招满为止,未开始,公告,"2024届,2025届,2026届",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://xyz.51job.com/External/Apply.aspx?CtmID=7163286'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/xIUL83sVtrDedVJnBLk8bA'}]",中骏集团,民企,-,-,项目管理 物业管理,"北京,天津,上海,苏州,厦门,泉州,南昌,郑州,广州",地产/建筑,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://wecruit.hotjob.cn/SU62302d64bef57c4972f79a87/mc/position/campus?t=1756952696186'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/RJAMeDkXRumoptUIzpZ3gg'}]",安图生物,民企,-,-,试剂研发工程师 试剂研发高级工程师 蛋白研发工程师 蛋白研发高级工程师 化学试剂研发工程师 临床监查员 算法高级工程师 软件工程师 临床医学高级工程师 产品经理 销售工程师 国际产品经理 应用技术专家 国际技术服务工程师,郑州,生物医药,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://linklaters.apply.cappats.com/Account/Login?ReturnUrl=jobsapply280'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/bcL270A-fnwDMvHPvgyObg'}]",年利达,外企,-,-,实习生,"北京,上海",专业服务,2025-10-12,未开始,公告,"2026届,2027届",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://jhhr.jangho.com:10079/login'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/IR3X3n6p_THeInNJQgMPqg'}]",江河集团,民企,-,-,施工管理（土木工程、工程管理、建筑幕墙） 计划调度（土木工程类、工程管理、建筑幕墙、机械类等专业） 研发设计（土木工程类、建筑幕墙、机械设计制造及其自动化、工程力学、结构工程等专业） 招采管理（土木工程、工程管理、建筑学、机械类等工程类或机械类等专业） 商务管理（工程管理、造价等相关专业） 投标管理（工程管理、工程造价类等专业）,"全国,广州,深圳,香港,澳门,海外","生物医药,地产/建筑",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/f4iKPE-qwpsLp6vgAh4Kow'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/f4iKPE-qwpsLp6vgAh4Kow'}]",爱笛卡,民企,-,-,小学教师 初中教师 竞赛教练,青岛,教育,招满为止,未开始,公告,"2024届,2025届,2026届",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/LmboauTpUN07M9g1A9v42w'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/LmboauTpUN07M9g1A9v42w'}]",杰科数码,民企,-,-,软件研发 硬件研发 NPI新产品导入 采购,"武汉,湘潭,广州,桂林","科技,其他",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://wecruit.hotjob.cn/SU6286556c2f9d246627874843/pb/school.html'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/RvAYYqWwBVTgQZZS_4BuBA'}]",怀柔实验室,事业单位,-,-,招聘方向：风电光伏 氢能技术 灵活发电 煤转化 碳捕集与封存 新型电力系统 装备与器件 油气勘探开发（招聘专业：数学/物理学/化学/海洋科学/地球物理学/ 地质学/统计学/气象/力学/机械工程/仪器科学 与技术/材料科学与工程/动力工程及工程热物 理/电气工程/电子科学与技术/控制科学与工 程/计算机科学与技术/土木工程/水利工程/化 学工程与技术/地质资源与地质工程/矿业工程 /石油与天然气工程/船舶与海洋工程/环境科 学与工程/软件工程/电子信息/能源动力等）,"北京,太原,乌鲁木齐",事业单位,招满为止,未开始,公告,"2026届,部分往届",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/I-fR3v7iGHp7BiYbONyaoA'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/I-fR3v7iGHp7BiYbONyaoA'}]",东岳集团,民企,-,-,高级研发工程师（化学、化工、高分子材料相关专业） 工艺工程师（化学、化工、高分子材料相关专业） 营销/市场服务（化学、化工、高分子材料相关专业） 研发工程师（化学、化工、高分子材料相关专业） 技术工程师（化学、化工、高分子材料相关专业） 机电仪工程师（自动化、电气、机械等 相关专业） 能源管理工程师（能源、动力 相关专业） 水处理工程师（环境、给排水 相关专业）,淄博,其他,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://zp.czbank.com.cn/zpweb/planController/gotoIndex.mvc?pageType=1'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/4T0srIo3nvJOC0-T2LqEmQ'}]",浙商银行,银行,-,-,总行常规岗位 总行定向派驻岗位 分行培训生 客户经理 柜员 运营培训生 营销培训生 金融科技生 管理培训生 本级及同城支行管 本级及同城支行客 产品经理,"北京,天津,太原,呼和浩特,沈阳,上海,南京,无锡,徐州,常州,苏州,南通,连云港,淮安,盐城,扬州,镇江,泰州,杭州,宁波,温州,嘉兴,湖州,绍兴,金华,衢州,舟山,台州,丽水,合肥,南昌,济南,青岛,郑州,武汉,长沙,广州,深圳,珠海,佛山,江门,惠州,东莞,重庆,成都,贵阳,西安,咸阳,兰州,酒泉",银行/金融,2025-10-16,未开始,公告,"2026届,2025届,4",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://job.cscec8b.com.cn/recruitment/job/detail/id/2696/'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/shEaLGPGCya_nGwGgMXgUw'}]",上海中建海外发展有限公司,央国企,-,-,未告知岗位，需求专业：  土木工程类：土木工程、工程力学、工程管理、工程造价、材料科学、安全工程、测绘工程等      基础设施类：道路桥梁与渡河工程、公路工程、交通工程、城市地下空间工程、水利水电工程等      建筑设计类：建筑学、城乡规划、风景园林、环境艺术设计、装饰艺术设计等      机电安装类：电气工程及其自动化、建筑电气与智能化、给排水科学与工程、建筑环境与能源应用工程、环境工程等      职能管理类：中文、行政、新闻传播、法学、会计学、税收管理、财务管理等,"上海,海外",国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/wzoM89HuP_CvH9Axxvm6gA'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/wzoM89HuP_CvH9Axxvm6gA'}]",久立集团,民企,-,-,研发类 技术类 市场类 海外储备（需求学科 管理学 机械工程 金属材料 电气工程 经济学 材料科学 冶金工程 仪器仪表技术）,湖州,其他,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://chec.zhiye.com/'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/K6kWtQwz6Kp5-obrty3_yw'}]",长江电子,央国企,-,-,硬件开发工程师 软件设计师 硬件工程师 结构设计师 伺服系统设计师 传动系统设计师 工艺设计师 质量工程师 体系管理员 供应链管理工程师 采购工程师（招聘专业： 电子信息工程 电子科学与技术 信息与通信工程 计算机科学与技术 控制工程 软件工程 通信工程 应用电子技术 微电子科学与工程 机械设计制造 及其自动化 机械工程 自动化等相关专业）,南京,国企,招满为止,未开始,公告,2025届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/03CFxJzTYF8qjGpwgHmWIQ'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/03CFxJzTYF8qjGpwgHmWIQ'}]",华南新材料创新园,事业单位,-,-,管培生：产业运营（新材料方向） 产业运营（生物医药方向） 企业服务 / 园区管家,广州,科技,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/bJ2cZfrUOwMdDHQVeNAcyA'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/bJ2cZfrUOwMdDHQVeNAcyA'}]",捷普,外企,-,-,Linux环境C语言开发工程师 Windows环境C++开发工程师 Java开发工程师 AI安全产品开发工程师 安全研究员（开发方向） 测试工程师 售前工程师 测评工程师 渗透测试工程师 密码技术工程师 安全研究员（安全评估方向） 计划行政经理 商务经理,西安,"其他,外企",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://jobs.hisense.com/'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/Ir1iyQX_padG8WR0OXBfZA'}]",信芯微,民企,-,-,软件算法类 硬件研发类 光学及显示类 芯片类 结构类 材料类 仿真研发类 暖通制冷类 技术工艺类 技术类 测试类 设计类 营销类 运营类 人力资源类 财经金融类 行政类 其他管理类 质量类 制造工艺类 安全类 生产制造类 供应链管理类,"北京,天津,上海,青岛,佛山,江门,重庆,全国,香港","其他,科技",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://wecruit.hotjob.cn/SU6491506a2f9d24316e91b81b/mc/position/campus?projectCode=308101&orgCode=041287&showProjectBanner=true'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/EcSakkRz1GYxYBF9Yrt9JQ'}]",tcl实业,民企,-,-,研发技术类 产品设计类 营销类 智能制造类 供应链类 财务金融类 综合管理类,"九江,武汉,广州,深圳,中山","其他,科技",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/lmzG3VY91xr90P1AFp-oqA'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/lmzG3VY91xr90P1AFp-oqA'}]",深水咨询,民企,-,-,工程监理 工程造价 工程技术咨询 水务市政设施管养 环保设施运营 技术研发（招聘专业 水利水电工程、给排水科学与工程、市政工程、土木工程、道路与桥 梁、地质岩土、工程管理、环境工程、风景园林、电气工程及其自动 化、机电工程、工程造价）,深圳,"专业服务,国企",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/TLffOQc36PVY3qPMtZrydw'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/TLffOQc36PVY3qPMtZrydw'}]",纳睿雷达,民企,-,-,雷达系统设计工程师 雷达信号处理算法工程师 芯片算法工程师 气象算法工程师 目标算法工程师 数据算法工程师 数值模式工程师 天线工程师 FPGA开发工程师 IC设计工程师 射频工程师 硬件工程师 自动化工程师 嵌入式软件工程师 C++开发工程师 Java开发工程师 Web前端开发工程师 气象工程师 目标工程师 水文应用工程师 产品经理 机械工程师 仿真工程师 研发测试工程师,珠海,其他,招满为止,未开始,公告,,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://hrm-out.hzcctech.com:8083/RedseaPlatform/zhaopin/zpChannelQrCode/a3c82653-df31-47ea-8561-b634675cc88c/officeWebsite.mob'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/7w9ejbK-0JVnI_gkrrfCYQ'}]",长川科技,民企,-,-,算法开发类精密运动控制、计算物 理算法、深度学习算法 硬件开发类 FPGA、硬件、射频、 电气、layout、光学、产品 软件开发类 驱动、软件、自动化软 件、视觉软件 测试类硬件测试、软件测试 机械类 机械、传热、制冷 CFD、EMC仿真、 SI仿真 仿真类  应用开发类 应用开发、 视觉应用开发 技术支持类 售后服务、实验室运维 质量管理类 成品/出厂检验、 客户/过程质量管理 供应链类 采购、计划、工艺、调 试、组装....,"北京,哈尔滨,上海,南京,苏州,杭州,合肥,厦门,深圳,成都,内江",科技,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/gA7SdVoJTwAIXkb70tw8Eg'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/gA7SdVoJTwAIXkb70tw8Eg'}]",凯普索,外企,-,-,业务工程师（专业不限） 研发工程师（化学工程与工艺等相关专业） 工艺工程师（化学工程与工艺等相关专业） 安调工程师（机械工程、能源动力等工科专业） 电仪工程师（测控技术与仪器、自动化、电气工程等相关专业） 自控工程师（控制工程、电气自动化、系统工程等相关专业） 人事专员（人力资源、工商管理等相关专业） 管培生（专业不限）,南京,科技,招满为止,,公告,,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://mp.weixin.qq.com/s/vUa45xa7oVQ8z1TQeaTKYw'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s/vUa45xa7oVQ8z1TQeaTKYw'}]",进阶思维,民企,-,-,科学素养教师(小学/初中) 国际素养教师 高中学科教师(数学/物理) 数学竞赛教练(年薪30W+),成都,教育,招满为止,未开始,公告,"2024届,2025届,2026届,2023届",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://mp.weixin.qq.com/s?__biz=MzUzMjY5Mzc4Mw==&mid=2247484440&idx=1&sn=a3ec345a26571e742ce3c1a5ce2386c9&chksm=faae1260cdd99b76b66d152a53831e11434aab0a273b85836ec8636588c8697e29a569872e1a#rd'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MzUzMjY5Mzc4Mw==&mid=2247484440&idx=1&sn=a3ec345a26571e742ce3c1a5ce2386c9&chksm=faae1260cdd99b76b66d152a53831e11434aab0a273b85836ec8636588c8697e29a569872e1a#rd'}]",校宝在线,民企,-,-,.NET开发 前端开发 软件测试 技术支持 新媒体运营 私域运营 销售 客户助理 商务助理,杭州,"互联网,教育",2025-10-15,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://ltryy.iguopin.com/job'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s/azX20wL4zDxTR82EbMd6eA'}]",中国联通软件研究院,央国企,-,-,软件研发岗(信息安全方向) 大数据开发 人工智能研发岗 软件研发岗(人工智能) 软件研发岗(大数据) 软件研发工程师 人工智能工程师(专业需求为：计算机 电子信息 人工智能 大数据 软件工程 信息安全 应用统计 控制科学等),"北京,哈尔滨,南京,济南,广州,西安",国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://app.mokahr.com/campus-recruitment/hanscnc'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/Rp_dEkmi8tsygO6MrcYANg'}]",大族数控,民企,-,-,供应链类 研发类 职能类 营销类,"上海,深圳",科技,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
